Appliances_label,Locks_label,Security_label,Interio_label
,Promoter,Promoter,
,Revised Detractor,Revised Detractor,
,,Promoter,
,Revised Detractor,,
,Promoter,Revised Detractor,
,Promoter,Promoter,
,Promoter,Revised Promoter,
,Revised Promoter,Promoter,
,Promoter,Promoter,
,Detractor,Revised Promoter,
,Promoter,Revised Detractor,
,Revised Promoter,,
,Revised Detractor,Revised Detractor,
,,Promoter,
,Revised Detractor,,
,Revised Detractor,Promoter,
,Promoter,Promoter,
,Revised Detractor,Revised Detractor,
,Revised Detractor,Revised Detractor,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,,Promoter,
,Promoter,Promoter,
,,Revised Promoter,
,,,
,Promoter,,
,Promoter,Promoter,
,Promoter,,
,Promoter,,
,,,
,Promoter,Promoter,
,Promoter,,
,,Revised Promoter,
,Promoter,Revised Detractor,
,,Promoter,
,,Promoter,
,,Detractor,
,Promoter,Promoter,
,,Detractor,
,Promoter,Promoter,
,Detractor,Promoter,
,Promoter,Revised Detractor,
,Revised Detractor,Promoter,
,Promoter,Promoter,
,,,
,Promoter,,
,Promoter,Revised Promoter,
,Revised Detractor,Revised Promoter,
,Promoter,Promoter,
,,,
,Promoter,Promoter,
,Promoter,,
,,Revised Promoter,
,Revised Detractor,Revised Detractor,
,Promoter,Promoter,
,Promoter,Revised Promoter,
,Revised Detractor,,
,Revised Detractor,Revised Detractor,
,Promoter,Promoter,
,Promoter,Promoter,
,,Revised Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Revised Detractor,Revised Detractor,
,Promoter,Promoter,
,Detractor,Detractor,
,Promoter,Promoter,
,,Detractor,
,Promoter,Promoter,
,Detractor,Detractor,
,Promoter,Promoter,
,Revised Detractor,Promoter,
,Promoter,Promoter,
,,,
,,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,,,
,Revised Detractor,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,Revised Detractor,,
,Revised Detractor,,
,,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Detractor,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,,,
,Promoter,,
,,,
,Promoter,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,,,
,Promoter,,
,Revised Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Revised Promoter,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Detractor,,
,Promoter,,
,Promoter,,
,Promoter,Promoter,
,,,
Promoter,,,Promoter
Detractor,Detractor,,
Detractor,,Revised Detractor,
,,Detractor,
,,,Revised Promoter
,Promoter,Revised Promoter,
,Promoter,,Promoter
,Promoter,Promoter,
,Promoter,Promoter,
Detractor,,Revised Detractor,
Promoter,Promoter,,
Revised Promoter,,Promoter,
,Promoter,,Promoter
Promoter,,Promoter,
Detractor,,,
,Promoter,,Promoter
,Promoter,Promoter,
Promoter,,Promoter,
,,,
Promoter,,Promoter,
,,Detractor,Promoter
Promoter,,Promoter,
,Promoter,Promoter,
,,Promoter,Promoter
,,Promoter,
,Promoter,Promoter,
,,,
,,Promoter,Promoter
,,Promoter,Promoter
Promoter,,,Promoter
,Promoter,,Promoter
,Promoter,,Promoter
,Promoter,,Detractor
,,,
,,Promoter,
,,Promoter,
,,,
Detractor,Promoter,,
Promoter,Promoter,,
Promoter,,,Promoter
Promoter,,,
Detractor,,,Revised Detractor
Detractor,,Promoter,
Promoter,Promoter,,
,,,
,Promoter,,Promoter
Detractor,,Detractor,
,,,
Promoter,Promoter,,
Promoter,,,Promoter
,,,Promoter
,,Revised Detractor,Revised Detractor
Promoter,,,Promoter
Promoter,,Promoter,
,,,
,,,Revised Detractor
,,Promoter,Promoter
,,,
,,,Promoter
,,Revised Promoter,Detractor
,Revised Promoter,,Revised Detractor
,Promoter,,Promoter
,Promoter,,Promoter
,,Promoter,Detractor
,,,Detractor
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,,Promoter
,,Revised Detractor,Promoter
,,Revised Detractor,Revised Detractor
,Promoter,,Detractor
,Promoter,,Promoter
,Promoter,,Promoter
,Revised Detractor,Revised Detractor,
,,Revised Detractor,
,,Promoter,Revised Promoter
,Promoter,,Revised Promoter
,,Revised Detractor,Detractor
,,Promoter,Revised Promoter
,,,Promoter
,Revised Detractor,,
,Revised Detractor,,Revised Detractor
,Detractor,Detractor,
,Promoter,,
,Promoter,,
,,,
,,,
,Revised Detractor,,
,Promoter,,
,,,
,Promoter,,
,,,
,Promoter,,
,Promoter,,
,Detractor,,
,Promoter,,
,Promoter,,Revised Detractor
,,Promoter,Promoter
,Promoter,Promoter,
Detractor,,,
,,,
Revised Promoter,,Promoter,
Detractor,Promoter,,
,,Promoter,Promoter
Promoter,,Promoter,
Promoter,,,Promoter
,,,
Promoter,,,
,,,
,Promoter,,Promoter
Detractor,,,Detractor
Revised Detractor,,Promoter,
,,Revised Promoter,Promoter
Promoter,,Revised Promoter,
,,,
Detractor,,,Detractor
,,,
,,Revised Detractor,Promoter
Promoter,,Promoter,
Detractor,Promoter,,
Revised Promoter,,Promoter,
,,Promoter,
Promoter,,,Promoter
Detractor,,,Detractor
Revised Promoter,,,Promoter
,,Promoter,Detractor
Revised Detractor,,,Revised Detractor
,Promoter,,Promoter
,Promoter,,Detractor
Detractor,,,Detractor
,,Revised Promoter,
Detractor,,,
,,Promoter,Promoter
Detractor,,,Detractor
,,Promoter,Promoter
,,,
Promoter,,,Promoter
,Detractor,Detractor,
Revised Detractor,Promoter,,
Promoter,,,Promoter
,Revised Detractor,Promoter,
Revised Promoter,,Detractor,
Detractor,,,Promoter
Revised Promoter,,Detractor,
Promoter,,Promoter,
,Promoter,,
,,Revised Detractor,
Promoter,Promoter,,
Revised Promoter,Promoter,,
,,,
Promoter,Promoter,,
,Promoter,Promoter,
,,,
,,,Promoter
Promoter,,,Promoter
Promoter,,,Promoter
,Promoter,Revised Promoter,
,,,
,,,
,,Promoter,Promoter
Promoter,Promoter,,
,,Detractor,
,,Revised Detractor,Promoter
,Promoter,,
Promoter,,,Promoter
Revised Detractor,,,Promoter
,,Revised Detractor,
Detractor,,Detractor,
Revised Promoter,,,Promoter
Revised Detractor,,Revised Detractor,
Revised Detractor,,,Revised Detractor
Revised Promoter,,Revised Promoter,
,,Promoter,Promoter
Promoter,,,Revised Promoter
Promoter,,,Promoter
,Promoter,Promoter,
,Promoter,Detractor,
,Detractor,Detractor,
,Promoter,Promoter,
,Promoter,,Promoter
Promoter,,Promoter,
Revised Promoter,,,Revised Promoter
,Promoter,,Promoter
Promoter,Promoter,,
Promoter,,,Promoter
,,Promoter,
Detractor,,,Promoter
Promoter,Promoter,,
Detractor,,,Revised Detractor
,,,
,Promoter,,Promoter
Detractor,,,Detractor
,,Promoter,
,,,
,Revised Detractor,,Promoter
,Promoter,,
Detractor,Detractor,,
Revised Promoter,,,Detractor
Revised Detractor,,,Promoter
Revised Detractor,,Revised Detractor,
,,,Revised Detractor
,Promoter,Promoter,
Promoter,,Promoter,
Detractor,,,Detractor
Promoter,,Promoter,
,Promoter,,Revised Detractor
,,Promoter,Promoter
,,Promoter,Detractor
Promoter,,,Promoter
Detractor,,,Detractor
Promoter,,Promoter,
,Promoter,Promoter,
,,Promoter,Revised Promoter
,,,Promoter
Revised Detractor,Revised Detractor,,
,Promoter,,Promoter
Promoter,,,Promoter
Promoter,Promoter,,
Detractor,,Promoter,
,,,
,Promoter,,Promoter
Promoter,,Promoter,
,Promoter,Promoter,
Promoter,,,Revised Detractor
Promoter,Promoter,,
,,,
,,Promoter,Promoter
Promoter,Promoter,,
Detractor,,Promoter,
Detractor,,Promoter,
,,Promoter,Promoter
Promoter,Promoter,,
Detractor,,,
,,,Promoter
Promoter,,Promoter,
Detractor,,,Promoter
Promoter,,,Promoter
,,Promoter,
,Promoter,Promoter,
Promoter,,,
,,,
Revised Detractor,,Revised Detractor,
,,Revised Detractor,Promoter
,Promoter,Promoter,
Detractor,,,Promoter
Detractor,,,
Detractor,Promoter,,
,,,
,Promoter,,Promoter
,,Promoter,Revised Promoter
,,,
Detractor,,,Promoter
Promoter,,Promoter,
,,,
,Revised Detractor,,Revised Detractor
Promoter,,,Revised Detractor
Revised Detractor,Revised Detractor,,
Promoter,,,Promoter
,,,Promoter
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,,Promoter
Revised Detractor,,,Promoter
Promoter,,Promoter,
,,,Promoter
,,Revised Detractor,Detractor
Revised Detractor,,,Revised Detractor
Detractor,,,
,,Revised Detractor,Detractor
Detractor,,Promoter,
,Promoter,,Promoter
,Detractor,,Promoter
,,,Promoter
,Revised Detractor,,Revised Detractor
,Promoter,Promoter,
,Promoter,,Promoter
,,,
,Promoter,Promoter,
,Revised Detractor,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,,Promoter,
,Promoter,,
,Promoter,Promoter,
,,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,,
,,Promoter,
,Promoter,Promoter,
,Promoter,,
,,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Promoter,
,Promoter,Revised Detractor,
,Promoter,Promoter,
,,Promoter,
,Promoter,Promoter,
,Promoter,,
,Promoter,Promoter,
,Promoter,,
,Promoter,Promoter,
,,Detractor,
,Detractor,Detractor,
,Revised Detractor,Promoter,
,Promoter,Revised Detractor,
,,Detractor,
,Promoter,Promoter,
,,Revised Detractor,
,,Promoter,
,,Promoter,
,Revised Detractor,Revised Detractor,
,Detractor,Detractor,
,Promoter,,
,Promoter,,
,Promoter,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Revised Detractor,,
,Promoter,,
,Promoter,,
,Promoter,,
